English,简体中文
PRESS AN INPUT TO ASSIGN TO<br><size=125%><color=#DDBE55>@</color></size>,请按下想要分配给 <br><size=125%><color=#DDBE55>@</color></size> 的键位
BUNDLED UP BADGE,包裹严实奖章
Climb past the ALPINE without ever having more than 20% Cold.,在全程寒冷值未超过 20% 的情况下爬过雪山。
yes!,对！
y...yeah...,嗯…好…
i guess so...,我想也是…
s...sure,可…可以
if you wanna...,如果你想…
okay...,好…
"if i say yes, will you take me with you?",我要是说行，你会带我一起吗？
"y-yeah,  definitely!",嗯好，当然咯！
i think it's fine...,我想这样就好…
p...please don't...,求…求你不要…
nah...,不行…
NO!!!!!!,不要！！！
don't do it...,别这么干…
i think that's a bad idea...,我觉得那样不行…
no.,不要。
n-nuh uh...,唉，唉不行…
d-definitely not...,绝，绝对不行…
no no no no no,不行不行不行
i'm... not sure...,我也…不太确定…
i dunno,不知道
i'm not comfortable answering that...,不是很想回答…
uh...uhhhhh...,唔…唔呃呃呃…
i'm bing bong,我是宾邦
i miss my wife,我好想念老婆
maaaaaaaaybe,大大大大概吧
you should ask your friends for help!,你应该找朋友帮忙去！
PHOTOBOOTH,自拍亭
start,开拍
JUMP TO GRAB WALL,跳跃可抓住岩壁
CLOUD FUNGUS,云雾菇
RESCUE CLAW,救援抓钩
PURPLE SHROOMBERRY,紫菇莓
Gem Activated,宝石，启动！
Gem Deactivated,宝石，关闭！
THE BOOK OF BONES,骸骨之书
READ,读
struggle,挣扎
backflip,后空翻
cinema,这才叫电影
crashout,无能狂怒
shimmy,西迷舞
it's so over,完犊子了
flex,秀肌肉
bully,咋滴不服
wave,看这边
FORESTRY BADGE,林业学奖章
Climb past the ROOTS.,爬过森蕈。
TREAD LIGHTLY BADGE,凌菇微步奖章
Climb past the ROOTS without ever having more than 25% spores.,在全程孢子值未超过 25% 的情况下爬过森蕈。
WEB SECURITY BADGE,网安奖章
Escape a spider's web and survive.,从蛛网里逃脱并幸存下来。
UNDEAD ENCOUNTER BADGE,不死族接触奖章
Cure yourself from a zombie bite.,给自己治愈一次丧尸咬伤。
ADVANCED MYCOLOGY BADGE,高等真菌学奖章
Try all 5 types of Shroomberry in a single expedition.,单次探险吃到全部 5 种菇莓。
DISASTER RESPONSE BADGE,灾难响应奖章
Pull an unconscious friend 30m with the Rescue Claw.,使用救援抓钩将一位昏迷朋友拖行 30 米。
CALCIUM INTAKE BADGE,补钙奖章
Block 100 total damage with the Fortified Milk.,使用奶白金抵抗总计 100 点伤害。
COMPETITIVE EATING BADGE,大胃王奖章
Eat 3 Hot Dogs in 5 seconds or less.,5 秒内吃掉 3 根热狗肠。
APPLIED ESOTERICA BADGE,玄学致用奖章
Ressurect a friend using unholy means.,通过非正经手段复活一位朋友。
MYCOACROBATICS BADGE,真菌杂技奖章
Bounce up 40m off a mushroom.,从一个蘑菇上弹起 40 米高。
CRYPTOGASTRONOMY BADGE,秘传料理奖章
Cook and eat a Mandrake.,烹饪并吃掉一棵曼德拉草。
SKELETON,骷髅
#'S SKELETON,#骷髅
REVIVE?,复活？
MANDRAKE,曼德拉草
